Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2024-01-05,0.57,0.5726,0.522,0.5414,152848545.9,1704499199999,82878327.58854,206227,74901054.9,40605816.48154,0
2024-01-06,0.5413,0.5429,0.5068,0.5227,120959496.4,1704585599999,63178197.73018,173182,54349877.8,28384961.49594,0
2024-01-07,0.5227,0.53,0.4877,0.4945,111767718.9,1704671999999,57355040.12286,212997,49422459.2,25379774.54813,0
2024-01-08,0.4945,0.5487,0.4643,0.5412,216099815.2,1704758399999,109191956.78818,275941,106868432.4,53994415.86343,0
2024-01-09,0.5412,0.5436,0.4964,0.5124,168923575.1,1704844799999,87075585.39227,237769,81729418.9,42137446.01508,0
2024-01-10,0.5123,0.5895,0.4872,0.566,279571914.5,1704931199999,147678943.05708,354728,136638220.2,72248147.87122,0
2024-01-11,0.5662,0.6174,0.5607,0.582,287865723.4,1705017599999,168543959.7409,417610,141655313.5,82972567.9041,0
2024-01-12,0.582,0.5891,0.5271,0.5476,158309249.6,1705103999999,89554868.03155,248549,77283703.8,43750462.78373,0
2024-01-13,0.5477,0.554,0.531,0.5491,73966558.1,1705190399999,40447633.69633,107007,36839621.8,20150688.46644,0
2024-01-14,0.5491,0.5502,0.5233,0.5251,74139564.7,1705276799999,40104982.32028,104421,34924248.8,18901629.33208,0
2024-01-15,0.5251,0.5416,0.5217,0.5276,63585526.0,1705363199999,33857934.40594,97026,30376167.7,16174936.84348,0
2024-01-16,0.5276,0.5482,0.525,0.5356,74354014.5,1705449599999,39963766.34803,107457,36355963.6,19541696.38138,0
2024-01-17,0.5356,0.5395,0.5213,0.5282,63933793.0,1705535999999,33924300.19584,81311,29702462.3,15760727.93003,0
2024-01-18,0.5282,0.5283,0.4955,0.5026,92941269.5,1705622399999,47592756.46996,118118,42680697.5,21853598.43708,0
2024-01-19,0.5027,0.5054,0.4713,0.5044,119926942.0,1705708799999,59010509.91132,138007,55219557.6,27170429.90801,0
2024-01-20,0.5043,0.5179,0.4986,0.516,79444228.6,1705795199999,40632766.22908,92792,38726035.4,19814235.59805,0
2024-01-21,0.5159,0.5205,0.5024,0.5032,54007901.7,1705881599999,27764888.18302,66501,24874248.6,12789513.86347,0
2024-01-22,0.5031,0.5063,0.4767,0.4786,143854450.0,1705967999999,70535229.77878,140773,69410483.5,34041225.17758,0
2024-01-23,0.4787,0.4863,0.4477,0.4773,179364936.7,1706054399999,83443177.99097,181610,92981664.4,43252741.9828,0
2024-01-24,0.4773,0.4805,0.4643,0.4765,94074417.5,1706140799999,44405418.70118,100863,44581793.8,21048761.24865,0
2024-01-25,0.4766,0.4841,0.4585,0.4666,85672497.7,1706227199999,40365278.61438,94011,40234657.6,18962003.40038,0
2024-01-26,0.4667,0.4904,0.463,0.4849,106524727.9,1706313599999,51202950.46393,117014,48813445.3,23447320.9092,0
2024-01-27,0.485,0.49,0.4754,0.4862,55368149.5,1706399999999,26779010.27083,60527,26174348.6,12659632.65538,0
2024-01-28,0.4862,0.5006,0.4834,0.4903,97129557.5,1706486399999,47903382.57825,96455,49127009.5,24229881.28312,0
2024-01-29,0.4903,0.5282,0.4836,0.526,121001422.1,1706572799999,61295529.36775,145018,62016980.2,31445410.95164,0
2024-01-30,0.5261,0.5367,0.5122,0.5136,131938020.8,1706659199999,69271481.81451,157772,67352804.2,35365450.77476,0
2024-01-31,0.5137,0.5203,0.4932,0.4976,132999623.5,1706745599999,67426075.94246,167346,68482611.3,34741312.41482,0
2024-02-01,0.4976,0.5084,0.4858,0.5078,97823370.7,1706831999999,48388348.96066,117240,48161724.1,23837532.84902,0
2024-02-02,0.5077,0.5244,0.5041,0.5146,109308591.4,1706918399999,56083296.80921,112237,53270484.9,27324223.63039,0
2024-02-03,0.5147,0.5257,0.5117,0.5124,62959942.6,1707004799999,32663474.09962,71339,30276285.9,15706115.36739,0
2024-02-04,0.5125,0.5126,0.4932,0.4934,57766921.8,1707091199999,29137672.01298,66062,27386882.6,13817167.31502,0
2024-02-05,0.4933,0.5062,0.4872,0.4944,74074301.1,1707177599999,36805487.29626,87706,35749275.4,17760192.53577,0
2024-02-06,0.4944,0.5042,0.4887,0.4983,74173617.7,1707263999999,36781097.42187,73622,36206031.0,17957449.33114,0
2024-02-07,0.4982,0.5025,0.4727,0.5022,180295685.6,1707350399999,87655793.92742,170503,80461874.0,39149759.8502,0
2024-02-08,0.5023,0.5361,0.502,0.5304,228609030.6,1707436799999,119878204.23867,227424,115000787.6,60304119.44418,0
2024-02-09,0.5304,0.5485,0.5278,0.5407,154515283.0,1707523199999,83350883.61305,165597,77807998.3,41974787.23244,0
2024-02-10,0.5407,0.5581,0.528,0.5515,115859589.7,1707609599999,62768583.48458,122000,55379979.7,30011244.06664,0
2024-02-11,0.5515,0.5654,0.5353,0.5414,159388533.1,1707695999999,88219309.37024,148056,77694627.1,43007199.68011,0
2024-02-12,0.5415,0.5658,0.5306,0.5592,156086926.2,1707782399999,85767253.83112,160792,76490564.1,42045561.6783,0
2024-02-13,0.5591,0.5645,0.5338,0.5449,128760890.4,1707868799999,70581345.68177,150664,63245420.4,34666797.63382,0
2024-02-14,0.5448,0.5833,0.5396,0.5768,164094581.5,1707955199999,93248246.64277,187223,81218935.3,46150376.46593,0
2024-02-15,0.5769,0.6126,0.5706,0.6087,232282054.4,1708041599999,138021428.81097,269197,118333570.4,70340471.01651,0
2024-02-16,0.6087,0.614,0.5821,0.5986,148909729.5,1708127999999,89138636.20172,177541,73920931.3,44252494.56701,0
2024-02-17,0.5987,0.611,0.5687,0.6096,128162404.1,1708214399999,75629199.2902,156095,59851395.1,35331956.93046,0
2024-02-18,0.6096,0.6391,0.6093,0.6193,207753370.3,1708300799999,129630329.87613,246681,104921461.6,65456601.4292,0
2024-02-19,0.6194,0.6389,0.6147,0.6308,169787705.9,1708387199999,106363808.99321,218314,81932163.2,51336684.14027,0
2024-02-20,0.6308,0.6414,0.5958,0.6216,233760627.4,1708473599999,145535294.50559,292351,109502933.1,68171857.41784,0
2024-02-21,0.6216,0.6237,0.5747,0.5988,133532235.1,1708559999999,79111985.4864,197325,66819431.0,39583726.10277,0
2024-02-22,0.5987,0.608,0.5806,0.5858,128991781.0,1708646399999,76796750.73101,156472,64755642.8,38557502.28933,0
2024-02-23,0.5858,0.5953,0.568,0.5824,117449758.1,1708732799999,68523670.67224,147961,55378462.5,32316419.27068,0
2024-02-24,0.5823,0.5998,0.5697,0.5969,95375216.6,1708819199999,55999344.71503,108901,46400031.4,27247923.9804,0
2024-02-25,0.5969,0.6007,0.5806,0.5914,78055822.8,1708905599999,46063972.93495,96083,39651006.8,23392267.83473,0
2024-02-26,0.5913,0.6222,0.5732,0.6191,169685875.5,1708991999999,101497957.76159,190810,83550091.2,49968705.84166,0
2024-02-27,0.6192,0.63,0.6073,0.6239,194585795.4,1709078399999,121024668.33202,229680,97613630.9,60711403.1396,0
2024-02-28,0.6238,0.661,0.5961,0.6287,355791252.9,1709164799999,224352078.67888,447954,174064146.5,109746744.73325,0
2024-02-29,0.6287,0.7088,0.6223,0.6547,496600842.9,1709251199999,336026658.63483,604376,247707744.0,167594142.02563,0
2024-03-01,0.6549,0.72,0.6529,0.7195,227378496.5,1709337599999,155568698.98737,311005,116117956.2,79454661.62995,0
2024-03-02,0.7196,0.7638,0.7171,0.7416,297746478.5,1709423999999,220785937.47027,462927,151027810.0,112021195.78831,0
2024-03-03,0.7414,0.7421,0.685,0.7279,205502738.3,1709510399999,148787481.4176,306795,100955414.6,73128408.46437,0
2024-03-04,0.728,0.7986,0.7219,0.7701,404835737.3,1709596799999,312249736.49484,589783,199136739.0,153460326.12199,0
2024-03-05,0.77,0.7831,0.571,0.6923,620713725.8,1709683199999,444118823.40343,894729,308688343.3,220996827.39236,0
2024-03-06,0.6923,0.7575,0.665,0.7349,295551593.1,1709769599999,211606993.91742,447647,149837889.6,107295815.15994,0
2024-03-07,0.735,0.755,0.7181,0.7427,207951361.7,1709855999999,153740023.25405,324064,102700672.7,75956978.94546,0
